code,name,name_short,name_tv,gender,function,country_code,country_full,nationality_full,nationality_code,height,weight,Disciplines_1,birth_date,Age
1563691,GRANOLLERS Marcel,GRANOLLERS M,Marcel GRANOLLERS,Male,Athlete,ESP,Spain,Spain,ESP,190,0,Tennis,12-04-1986,38
1563693,MARTINEZ Pedro,MARTINEZ P,Pedro MARTINEZ,Male,Athlete,ESP,Spain,Spain,ESP,185,0,Tennis,26-04-1997,27
1563696,MUNAR Jaume,MUNAR J,Jaume MUNAR,Male,Athlete,ESP,Spain,Spain,ESP,183,0,Tennis,05-05-1997,27
1563697,NADAL Rafael,NADAL R,Rafael NADAL,Male,Athlete,ESP,Spain,Spain,ESP,185,0,Tennis,03-06-1986,38
1563773,YULDOSHEV Murodjon,YULDOSHEV M,Murodjon YULDOSHEV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,UZB,0,0,Judo,09-08-1995,29
1563781,DIESSL Enzo,DIESSL E,Enzo DIESSL,Male,Athlete,AUT,Austria,Austria,AUT,185,0,Athletics,06-06-2004,20
1563782,FUCHS Markus,FUCHS M,Markus FUCHS,Male,Athlete,AUT,Austria,Austria,AUT,174,0,Athletics,14-11-1995,28
1563783,GOGL-WALLI Susanne,GOGL-WALLI S,Susanne GOGL-WALLI,Female,Athlete,AUT,Austria,Austria,AUT,168,0,Athletics,05-05-1996,28
1563784,HUDSON Victoria,HUDSON V,Victoria HUDSON,Female,Athlete,AUT,Austria,Austria,AUT,169,0,Athletics,28-05-1996,28
1563791,MAYER Julia,MAYER J,Julia MAYER,Female,Athlete,AUT,Austria,Austria,AUT,159,0,Athletics,20-01-1993,31
1563794,PALLITSCH Raphael,PALLITSCH R,Raphael PALLITSCH,Male,Athlete,AUT,Austria,Austria,AUT,175,0,Athletics,18-12-1989,34
1563801,WEISSHAIDINGER Lukas,WEISSHAIDINGER L,Lukas WEISSHAIDINGER,Male,Athlete,AUT,Austria,Austria,AUT,196,0,Athletics,20-02-1992,32
